Anime Name,Condition,Views,Latest Episode
Chainsaw Man,Completed,"6,621,511","012
"
My Hero Academia Season 6,Ongoing,"5,550,813","024
"
One Piece,Ongoing,"400,595,347","1054
"
SPY x FAMILY,Completed,"5,744,564","012
"
Attack on Titan Final Season,Completed,"16,527,856","016
"
BLUELOCK,Ongoing,"2,899,367","023
"
Black Clover,Completed,"92,276,246","170
"
Demon Slayer: Entertainment District Arc,Completed,"11,296,297","011
"
SPY x FAMILY Cour 2,Completed,"2,904,355","013
"
Sorcery Fight,Completed,"26,391,424","024
"
Tokyo Revengers,Completed,"8,551,298","024
"
Bocchi the Rock!,Completed,"1,027,908","012
"
Attack on Titan Final Season Part 2,Ongoing,"8,393,291","012
"
The Angel Next Door Spoils Me Rotten,Ongoing,"659,807","011
"
Handyman Saitou in Another World,Ongoing,"847,183","011
"
Mushoku Tensei: Jobless Reincarnation Part 2,Completed,"4,789,410","012
"
Komi Can’t Communicate,Completed,"3,027,375","012
"
Mob Psycho 100 III,Completed,"1,576,453","012
"
"Don't Toy With Me, Miss Nagatoro",Completed,"3,278,326","012
"
Tokyo Revengers Season 2,Ongoing,"1,146,327","011
"
My Hero Academia Season 5,Completed,"12,386,592","025
"
Kaguya-sama: Love is War Season 3,Completed,"1,676,631","013
"
Lycoris Recoil,Completed,"1,074,038","013
"
The Reincarnation of the Strongest Exorcist in Another World,Ongoing,"1,498,876","011
"
Ranking of Kings,Completed,"4,273,841","023
"
Classroom of the Elite II,Completed,"2,435,971","013
"
Shikimori's Not Just a Cutie,Completed,"1,233,205","012
"
TONIKAWA: Over The Moon For You,Completed,"4,292,094","012.5
"
By the Grace of the Gods Season 2,Ongoing,"655,690","011
"
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",Completed,"2,679,298","013
"
Komi Can't Communicate Season 2,Completed,"1,331,763","012
"
Call of the Night,Completed,"1,822,160","013
"
Ikebukuro West Gate Park,Completed,"861,147","012
"
Fruits Basket: The Final Season,Completed,"1,188,930","013
"
Sleepy Princess in the Demon Castle,Completed,"1,446,541","012
"
The Journey of Elaina,Completed,"1,715,979","012
"
To Your Eternity,Completed,"3,063,581","020
"
The God of High School,Completed,"7,661,787","013
"
Tomo-chan is a Girl!,Ongoing,"737,276","011
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? III,Completed,"5,284,726","012
"
In/Spectre Season 2,Ongoing,"205,529","011
"
HAIKYU‼ TO THE TOP Part 2,Completed,"7,585,938","012
"
Buddy Daddies,Ongoing,"523,982","010
"
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants,Completed,"10,976,442","013
"
Re:ZERO -Starting Life in Another World- Season 2,Completed,"7,159,925","038
"
BLEACH: Thousand-Year Blood War,Completed,"4,125,722","013
"
Farming Life in Another World,Ongoing,"1,402,078","011
"
Fire Force Season 2,Completed,"9,388,727","024
"
Overlord IV,Completed,"4,076,458","013
"
The Rising of the Shield Hero Season 2,Completed,"3,241,296","013
"
takt op.Destiny,Completed,"1,043,677","012
"
Rent-a-Girlfriend,Completed,"5,900,406","012
"
Osamake: Romcom Where The Childhood Friend Won't Lose,Completed,"1,121,073","012
"
"Saving 80,000 Gold in Another World for My Retirement",Ongoing,"438,319","011
"
The Case Study of Vanitas,Completed,"1,678,568","012
"
Vinland Saga Season 2,Ongoing,"881,160","010
"
Rent-a-Girlfriend Season 2,Completed,"918,484","012
"
Akudama Drive,Completed,"2,047,981","Version)
"
Mieruko-chan,Completed,"1,581,186","012
"
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Completed,"4,625,226","012
"
The Detective is Already Dead,Completed,"1,108,594","012
"
TRIGUN STAMPEDE,Ongoing,"378,829","011
"
The Day I Became a God,Completed,"1,938,526","012
"
Chillin’ in My 30s after Getting Fired from the Demon King’s Army,Ongoing,"984,118","011
"
That Time I Got Reincarnated as a Slime Season 2 Part 2,Completed,"6,979,371","012
"
Summer Time Render,Completed,"1,784,567","025
"
"More than a married couple, but not lovers.",Completed,"635,961","012
"
Talentless Nana,Completed,"1,794,447","013
"
Boruto: Naruto Next Generations,Ongoing,"162,408,971","292
"
Miss Kobayashi's Dragon Maid S,Completed,"2,099,102","012
"
My Teen Romantic Comedy SNAFU Climax!,Completed,"3,494,818","012
"
The Genius Prince's Guide to Raising a Nation Out of Debt,Completed,"1,571,171","012
"
86: Eighty Six Part 2,Completed,"1,398,135","012
"
Idaten Deities in the Peaceful Generation,Completed,"765,354","011
"
Remake our Life!,Completed,"829,795","012
"
Sword Art Online: Alicization - War of Underworld Part 2,Completed,"6,538,108","011
"
Life Lessons with Uramichi Oniisan,Completed,"579,743","013
"
Adachi and Shimamura,Completed,"680,805","012
"
Digimon Adventure (2020),Completed,"1,916,966","067
"
